freezing_1s,freezing,genotype,id,day,condition,sex,cohort,exposure_mins,analyzed_duration,date,time,els,psilocybin,cohort_id,dob,age_at_sefla,young,Age
33.278,38.53,wt,83,Recall 1,sefl,male,ptsd2,5.0,5.0,2021-04-30,1:37 PM,n,n,ptsd2_83,2021-02-16,10.142857142857142,True,Young Adult
23.43,27.71,wt,83,Recall 2,sefl,male,ptsd2,5.0,5.0,2021-05-03,10:17 AM,n,n,ptsd2_83,2021-02-16,10.142857142857142,True,Young Adult
4.016,12.03,wt,83,Recall 3,sefl,male,ptsd2,5.0,5.0,2021-05-05,10:04 AM,n,n,ptsd2_83,2021-02-16,10.142857142857142,True,Young Adult
20.938,25.84,wt,83,Recall 4,sefl,male,ptsd2,5.0,5.0,2021-05-19,10:24 AM,n,n,ptsd2_83,2021-02-16,10.142857142857142,True,Young Adult
4.19,8.38,wt,83,recall5,sefl,male,ptsd2,5.0,5.0,2021-06-02,10:03 AM,n,n,ptsd2_83,2021-02-16,10.142857142857142,True,Young Adult
6.15116667,6.15,wt,2,SEFLA,control,male,ptsd3,60.0,60.0,2021-05-19,1:00 PM,n,n,ptsd3_2,2021-01-15,17.714285714285715,False,Adult
1.05,1.72,wt,2,SEFLB,control,male,ptsd3,3.5,3.5,2021-05-20,10:09 AM,n,n,ptsd3_2,2021-01-15,17.714285714285715,False,Adult
12.392,19.43,wt,2,Recall 1,control,male,ptsd3,5.0,5.0,2021-05-21,10:13 AM,n,n,ptsd3_2,2021-01-15,17.714285714285715,False,Adult
9.76,14.3,wt,2,Recall 2,control,male,ptsd3,5.0,5.0,2021-05-24,2:29 PM,n,n,ptsd3_2,2021-01-15,17.714285714285715,False,Adult
12.55,18.87,wt,2,Recall 3,control,male,ptsd3,5.0,5.0,2021-05-26,12:11 PM,n,n,ptsd3_2,2021-01-15,17.714285714285715,False,Adult
7.224,11.77,wt,2,Recall 4,control,male,ptsd3,5.0,5.0,2021-06-04,2:47 PM,n,n,ptsd3_2,2021-01-15,17.714285714285715,False,Adult
5.252,13.8,wt,2,recall5,control,male,ptsd3,5.0,5.0,2021-06-24,1:41 PM,n,n,ptsd3_2,2021-01-15,17.714285714285715,False,Adult
41.8555,41.86,wt,4,SEFLA,control,male,ptsd3,60.0,60.0,2021-05-19,1:00 PM,n,n,ptsd3_4,2021-02-14,13.428571428571429,False,Adult
0.445,1.75,wt,4,SEFLB,control,male,ptsd3,3.5,3.5,2021-05-20,10:09 AM,n,n,ptsd3_4,2021-02-14,13.428571428571429,False,Adult
26.32,28.55,wt,4,Recall 1,control,male,ptsd3,5.0,5.0,2021-05-21,10:13 AM,n,n,ptsd3_4,2021-02-14,13.428571428571429,False,Adult
6.334,9.28,wt,4,Recall 2,control,male,ptsd3,5.0,5.0,2021-05-24,2:29 PM,n,n,ptsd3_4,2021-02-14,13.428571428571429,False,Adult
26.224,30.06,wt,4,Recall 3,control,male,ptsd3,5.0,5.0,2021-05-26,12:11 PM,n,n,ptsd3_4,2021-02-14,13.428571428571429,False,Adult
5.356,5.36,wt,6,SEFLA,control,male,ptsd3,60.0,60.0,2021-05-19,1:00 PM,n,n,ptsd3_6,2021-03-05,10.714285714285714,True,Young Adult
0.0,0.0,wt,6,SEFLB,control,male,ptsd3,3.5,3.5,2021-05-20,10:39 AM,n,n,ptsd3_6,2021-03-05,10.714285714285714,True,Young Adult
13.124,21.52,wt,6,Recall 1,control,male,ptsd3,5.0,5.0,2021-05-21,10:38 AM,n,n,ptsd3_6,2021-03-05,10.714285714285714,True,Young Adult
3.832,9.54,wt,6,Recall 2,control,male,ptsd3,5.0,5.0,2021-05-24,2:53 PM,n,n,ptsd3_6,2021-03-05,10.714285714285714,True,Young Adult
1.25,6.06,wt,6,Recall 3,control,male,ptsd3,5.0,5.0,2021-05-26,12:39 PM,n,n,ptsd3_6,2021-03-05,10.714285714285714,True,Young Adult
3.478,8.47,wt,6,Recall 4,control,male,ptsd3,5.0,5.0,2021-06-04,3:03 PM,n,n,ptsd3_6,2021-03-05,10.714285714285714,True,Young Adult
5.692,16.74,wt,6,recall5,control,male,ptsd3,5.0,5.0,2021-06-24,2:02 PM,n,n,ptsd3_6,2021-03-05,10.714285714285714,True,Young Adult
1.02266667,1.02,wt,8,SEFLA,control,male,ptsd3,60.0,60.0,2021-05-19,2:24 PM,n,n,ptsd3_8,2021-03-05,10.714285714285714,True,Young Adult
0.0,0.0,wt,8,SEFLB,control,male,ptsd3,3.5,3.5,2021-05-20,10:39 AM,n,n,ptsd3_8,2021-03-05,10.714285714285714,True,Young Adult
17.474,20.41,wt,8,Recall 1,control,male,ptsd3,5.0,5.0,2021-05-21,10:38 AM,n,n,ptsd3_8,2021-03-05,10.714285714285714,True,Young Adult
1.252,2.68,wt,8,Recall 2,control,male,ptsd3,5.0,5.0,2021-05-24,2:53 PM,n,n,ptsd3_8,2021-03-05,10.714285714285714,True,Young Adult
4.536,9.97,wt,8,Recall 3,control,male,ptsd3,5.0,5.0,2021-05-26,12:39 PM,n,n,ptsd3_8,2021-03-05,10.714285714285714,True,Young Adult
0.356,2.14,wt,8,Recall 4,control,male,ptsd3,5.0,5.0,2021-06-04,3:03 PM,n,n,ptsd3_8,2021-03-05,10.714285714285714,True,Young Adult
10.946,23.87,wt,8,recall5,control,male,ptsd3,5.0,5.0,2021-06-24,2:02 PM,n,n,ptsd3_8,2021-03-05,10.714285714285714,True,Young Adult
4.4515,4.45,wt,10,SEFLA,sefl,male,ptsd3,60.0,60.0,2021-05-19,2:24 PM,n,n,ptsd3_10,2021-02-22,12.285714285714286,False,Adult
6.8575,9.56,wt,10,SEFLB,sefl,male,ptsd3,3.5,3.5,2021-05-20,11:04 AM,n,n,ptsd3_10,2021-02-22,12.285714285714286,False,Adult
51.1,54.05,wt,10,Recall 1,sefl,male,ptsd3,5.0,5.0,2021-05-21,11:16 AM,n,n,ptsd3_10,2021-02-22,12.285714285714286,False,Adult
16.592,25.32,wt,10,Recall 2,sefl,male,ptsd3,5.0,5.0,2021-05-24,3:11 PM,n,n,ptsd3_10,2021-02-22,12.285714285714286,False,Adult
23.262,26.56,wt,10,Recall 3,sefl,male,ptsd3,5.0,5.0,2021-05-26,1:01 PM,n,n,ptsd3_10,2021-02-22,12.285714285714286,False,Adult
24.914,30.26,wt,10,Recall 4,sefl,male,ptsd3,5.0,5.0,2021-06-04,3:16 PM,n,n,ptsd3_10,2021-02-22,12.285714285714286,False,Adult
33.642,42.19,wt,10,recall5,sefl,male,ptsd3,5.0,5.0,2021-06-24,2:21 PM,n,n,ptsd3_10,2021-02-22,12.285714285714286,False,Adult
4.4425,4.44,wt,12,SEFLA,sefl,male,ptsd3,60.0,60.0,2021-05-19,2:24 PM,n,n,ptsd3_12,2021-01-03,19.428571428571427,False,Adult
0.0,0.78,wt,12,SEFLB,sefl,male,ptsd3,3.5,3.5,2021-05-20,11:04 AM,n,n,ptsd3_12,2021-01-03,19.428571428571427,False,Adult
28.912,36.05,wt,12,Recall 1,sefl,male,ptsd3,5.0,5.0,2021-05-21,11:16 AM,n,n,ptsd3_12,2021-01-03,19.428571428571427,False,Adult
15.932,24.83,wt,12,Recall 2,sefl,male,ptsd3,5.0,5.0,2021-05-24,3:11 PM,n,n,ptsd3_12,2021-01-03,19.428571428571427,False,Adult
11.48,15.93,wt,12,Recall 3,sefl,male,ptsd3,5.0,5.0,2021-05-26,1:01 PM,n,n,ptsd3_12,2021-01-03,19.428571428571427,False,Adult
5.692,9.35,wt,12,Recall 4,sefl,male,ptsd3,5.0,5.0,2021-06-04,3:16 PM,n,n,ptsd3_12,2021-01-03,19.428571428571427,False,Adult
12.818,24.12,wt,12,recall5,sefl,male,ptsd3,5.0,5.0,2021-06-24,2:21 PM,n,n,ptsd3_12,2021-01-03,19.428571428571427,False,Adult
61.9248333,61.92,wt,1,SEFLA,sefl,male,ptsd3,60.0,60.0,2021-05-19,3:05 PM,n,n,ptsd3_1,2021-01-15,17.714285714285715,False,Adult
32.92,36.73,wt,1,SEFLB,sefl,male,ptsd3,3.5,3.5,2021-05-20,10:09 AM,n,n,ptsd3_1,2021-01-15,17.714285714285715,False,Adult
24.63,55.02,wt,1,Recall 1,sefl,male,ptsd3,5.0,5.0,2021-05-21,10:13 AM,n,n,ptsd3_1,2021-01-15,17.714285714285715,False,Adult
42.502,46.33,wt,1,Recall 2,sefl,male,ptsd3,5.0,5.0,2021-05-24,2:29 PM,n,n,ptsd3_1,2021-01-15,17.714285714285715,False,Adult
26.09,34.2,wt,1,Recall 3,sefl,male,ptsd3,5.0,5.0,2021-05-26,12:11 PM,n,n,ptsd3_1,2021-01-15,17.714285714285715,False,Adult
45.126,47.53,wt,1,Recall 4,sefl,male,ptsd3,5.0,5.0,2021-06-04,2:47 PM,n,n,ptsd3_1,2021-01-15,17.714285714285715,False,Adult
25.838,30.3,wt,1,recall5,sefl,male,ptsd3,5.0,5.0,2021-06-24,1:41 PM,n,n,ptsd3_1,2021-01-15,17.714285714285715,False,Adult
62.9533333,62.95,wt,3,SEFLA,sefl,male,ptsd3,60.0,60.0,2021-05-19,3:05 PM,n,n,ptsd3_3,2021-01-15,17.714285714285715,False,Adult
25.665,28.85,wt,3,SEFLB,sefl,male,ptsd3,3.5,3.5,2021-05-20,10:09 AM,n,n,ptsd3_3,2021-01-15,17.714285714285715,False,Adult
25.224,31.64,wt,3,Recall 1,sefl,male,ptsd3,5.0,5.0,2021-05-21,10:13 AM,n,n,ptsd3_3,2021-01-15,17.714285714285715,False,Adult
19.072,0.0,wt,3,Recall 2,sefl,male,ptsd3,5.0,5.0,2021-05-24,2:29 PM,n,n,ptsd3_3,2021-01-15,17.714285714285715,False,Adult
13.736,19.17,wt,3,Recall 3,sefl,male,ptsd3,5.0,5.0,2021-05-26,12:11 PM,n,n,ptsd3_3,2021-01-15,17.714285714285715,False,Adult
30.508,34.16,wt,3,Recall 4,sefl,male,ptsd3,5.0,5.0,2021-06-04,2:47 PM,n,n,ptsd3_3,2021-01-15,17.714285714285715,False,Adult
29.262,42.09,wt,3,recall5,sefl,male,ptsd3,5.0,5.0,2021-06-24,1:41 PM,n,n,ptsd3_3,2021-01-15,17.714285714285715,False,Adult
54.3565,54.36,wt,5,SEFLA,sefl,male,ptsd3,60.0,60.0,2021-05-19,3:05 PM,n,n,ptsd3_5,2021-02-14,13.428571428571429,False,Adult
21.2875,23.82,wt,5,SEFLB,sefl,male,ptsd3,3.5,3.5,2021-05-20,10:39 AM,n,n,ptsd3_5,2021-02-14,13.428571428571429,False,Adult
79.314,81.37,wt,5,Recall 1,sefl,male,ptsd3,5.0,5.0,2021-05-21,10:38 AM,n,n,ptsd3_5,2021-02-14,13.428571428571429,False,Adult
42.772,45.62,wt,5,Recall 2,sefl,male,ptsd3,5.0,5.0,2021-05-24,2:53 PM,n,n,ptsd3_5,2021-02-14,13.428571428571429,False,Adult
10.258,14.62,wt,5,Recall 3,sefl,male,ptsd3,5.0,5.0,2021-05-26,12:39 PM,n,n,ptsd3_5,2021-02-14,13.428571428571429,False,Adult
13.094,18.61,wt,5,Recall 4,sefl,male,ptsd3,5.0,5.0,2021-06-04,3:03 PM,n,n,ptsd3_5,2021-02-14,13.428571428571429,False,Adult
12.276,16.73,wt,5,recall5,sefl,male,ptsd3,5.0,5.0,2021-06-24,2:02 PM,n,n,ptsd3_5,2021-02-14,13.428571428571429,False,Adult
55.515,55.52,wt,7,SEFLA,sefl,male,ptsd3,60.0,60.0,2021-05-19,5:36 PM,n,n,ptsd3_7,2021-03-05,10.714285714285714,True,Young Adult
14.2575,16.74,wt,7,SEFLB,sefl,male,ptsd3,3.5,3.5,2021-05-20,10:39 AM,n,n,ptsd3_7,2021-03-05,10.714285714285714,True,Young Adult
42.01,42.55,wt,7,Recall 1,sefl,male,ptsd3,5.0,5.0,2021-05-21,10:38 AM,n,n,ptsd3_7,2021-03-05,10.714285714285714,True,Young Adult
12.828,16.21,wt,7,Recall 2,sefl,male,ptsd3,5.0,5.0,2021-05-24,2:53 PM,n,n,ptsd3_7,2021-03-05,10.714285714285714,True,Young Adult
2.76,5.34,wt,7,Recall 3,sefl,male,ptsd3,5.0,5.0,2021-05-26,12:39 PM,n,n,ptsd3_7,2021-03-05,10.714285714285714,True,Young Adult
11.438,15.73,wt,7,Recall 4,sefl,male,ptsd3,5.0,5.0,2021-06-04,3:03 PM,n,n,ptsd3_7,2021-03-05,10.714285714285714,True,Young Adult
32.704,38.05,wt,7,recall5,sefl,male,ptsd3,5.0,5.0,2021-06-24,2:02 PM,n,n,ptsd3_7,2021-03-05,10.714285714285714,True,Young Adult
75.916,75.92,wt,9,SEFLA,sefl,male,ptsd3,60.0,60.0,2021-05-19,5:36 PM,n,n,ptsd3_9,2021-02-22,12.285714285714286,False,Adult
23.905,26.46,wt,9,SEFLB,sefl,male,ptsd3,3.5,3.5,2021-05-20,11:04 AM,n,n,ptsd3_9,2021-02-22,12.285714285714286,False,Adult
68.02,69.36,wt,9,Recall 1,sefl,male,ptsd3,5.0,5.0,2021-05-21,11:16 AM,n,n,ptsd3_9,2021-02-22,12.285714285714286,False,Adult
25.718,33.29,wt,9,Recall 2,sefl,male,ptsd3,5.0,5.0,2021-05-24,3:11 PM,n,n,ptsd3_9,2021-02-22,12.285714285714286,False,Adult
24.68,29.5,wt,9,Recall 3,sefl,male,ptsd3,5.0,5.0,2021-05-26,1:01 PM,n,n,ptsd3_9,2021-02-22,12.285714285714286,False,Adult
58.362,60.77,wt,9,Recall 4,sefl,male,ptsd3,5.0,5.0,2021-06-04,3:16 PM,n,n,ptsd3_9,2021-02-22,12.285714285714286,False,Adult
13.096,19.96,wt,9,recall5,sefl,male,ptsd3,5.0,5.0,2021-06-24,2:21 PM,n,n,ptsd3_9,2021-02-22,12.285714285714286,False,Adult
62.1191667,62.12,wt,11,SEFLA,sefl,male,ptsd3,60.0,60.0,2021-05-19,5:36 PM,n,n,ptsd3_11,2021-01-03,19.428571428571427,False,Adult
22.515,25.37,wt,11,SEFLB,sefl,male,ptsd3,3.5,3.5,2021-05-20,11:04 AM,n,n,ptsd3_11,2021-01-03,19.428571428571427,False,Adult
78.158,79.05,wt,11,Recall 1,sefl,male,ptsd3,5.0,5.0,2021-05-21,11:16 AM,n,n,ptsd3_11,2021-01-03,19.428571428571427,False,Adult
11.31,18.97,wt,11,Recall 2,sefl,male,ptsd3,5.0,5.0,2021-05-24,3:11 PM,n,n,ptsd3_11,2021-01-03,19.428571428571427,False,Adult
9.372,12.32,wt,11,Recall 3,sefl,male,ptsd3,5.0,5.0,2021-05-26,1:01 PM,n,n,ptsd3_11,2021-01-03,19.428571428571427,False,Adult
35.202,38.14,wt,11,Recall 4,sefl,male,ptsd3,5.0,5.0,2021-06-04,3:16 PM,n,n,ptsd3_11,2021-01-03,19.428571428571427,False,Adult
12.466,18.71,wt,11,recall5,sefl,male,ptsd3,5.0,5.0,2021-06-24,2:21 PM,n,n,ptsd3_11,2021-01-03,19.428571428571427,False,Adult
12.95216667,15.8,wt,61,SEFLA,control,male,ptsd4,60.0,60.0,2021-06-01,2:08 PM,n,n,ptsd4_61,2021-03-17,10.857142857142858,True,Young Adult
0.63,2.85,wt,61,SEFLB,control,male,ptsd4,3.5,3.5,2021-06-02,1:28 PM,n,n,ptsd4_61,2021-03-17,10.857142857142858,True,Young Adult
18.346,21.91,wt,61,Recall 1,control,male,ptsd4,5.0,5.0,2021-06-07,9:47 AM,n,n,ptsd4_61,2021-03-17,10.857142857142858,True,Young Adult
8.276,16.3,wt,61,Recall 2,control,male,ptsd4,5.0,5.0,2021-06-11,2:54 PM,n,n,ptsd4_61,2021-03-17,10.857142857142858,True,Young Adult
53.038,58.03,wt,61,Recall 3,control,male,ptsd4,5.0,5.0,2021-06-18,10:56 AM,n,n,ptsd4_61,2021-03-17,10.857142857142858,True,Young Adult
25.126,31.01,wt,61,Recall 4,control,male,ptsd4,5.0,5.0,2021-06-25,2:13 PM,n,n,ptsd4_61,2021-03-17,10.857142857142858,True,Young Adult
20.896,27.32,wt,61,recall5,control,male,ptsd4,5.0,5.0,2021-07-02,10:45 AM,n,n,ptsd4_61,2021-03-17,10.857142857142858,True,Young Adult
4.427833333,6.27,wt,71,SEFLA,control,male,ptsd4,60.0,60.0,2021-06-01,2:08 PM,n,n,ptsd4_71,2021-03-17,10.857142857142858,True,Young Adult
