,cohort_id,freezing_sefla,freezing_seflb,date_seflb,freezing_recall1,date_recall1,freezing_recall2,date_recall2,freezing_recall3,date_recall3,freezing_recall4,date_recall4,freezing_recall5,date_recall5,condition,sex,dob,date_sefla,age_selfa
42,ptsd5_12,67.41,61.85,1,90.02,3,63.1,10,42.25,17,62.02,24.0,54.9,31.0,sefl,female,2021-01-15,2021-06-08,144
43,ptsd5_13,54.21,38.44,1,81.92,3,62.29,10,24.82,17,29.85,24.0,4.9,31.0,sefl,female,2021-01-15,2021-06-08,144
44,ptsd5_64,62.47,55.2,1,54.28,3,60.4,10,44.84,17,25.64,24.0,32.62,31.0,sefl,female,2021-01-13,2021-06-08,146
45,ptsd5_62,56.78,41.96,1,39.3,3,31.28,10,24.79,17,22.73,24.0,27.81,31.0,sefl,female,2021-01-13,2021-06-08,146
46,ptsd6_51,2.42,4.83,1,13.19,20,0.8,26,5.44,32,3.13,39.0,7.77,46.0,control,female,2021-04-27,2021-07-08,72
47,ptsd6_52,38.24,17.04,1,27.02,20,22.48,26,20.07,32,19.51,39.0,14.2,46.0,sefl,female,2021-04-27,2021-07-08,72
48,ptsd6_61,3.89,1.87,1,17.25,20,12.86,26,10.51,32,9.61,39.0,5.08,46.0,control,female,2021-04-27,2021-07-08,72
49,ptsd6_62,4.8,0.96,1,8.64,20,21.42,26,3.83,32,11.66,39.0,6.5,46.0,control,female,2021-04-27,2021-07-08,72
50,ptsd6_63,50.64,21.35,1,26.6,20,3.39,26,3.84,32,7.57,39.0,3.75,46.0,sefl,female,2021-04-27,2021-07-08,72
51,ptsd6_64,66.07,37.74,1,47.01,20,23.61,26,22.07,32,42.34,39.0,11.76,46.0,sefl,female,2021-04-27,2021-07-08,72
52,ptsd6_65,58.83,31.45,1,49.65,20,6.06,26,27.68,32,11.36,39.0,4.82,46.0,sefl,female,2021-04-27,2021-07-08,72
53,ptsd6_71,3.37,0.64,1,4.71,20,4.01,26,0.36,32,1.25,39.0,1.16,46.0,control,female,2021-04-27,2021-07-08,72
54,ptsd6_75,65.95,44.74,1,41.83,20,23.58,26,14.26,32,5.17,39.0,6.85,46.0,sefl,female,2021-04-27,2021-07-08,72
55,ptsd6_74,59.7,17.87,1,29.36,20,14.1,26,21.39,32,27.84,39.0,4.91,46.0,sefl,female,2021-04-27,2021-07-08,72
56,ptsd6_73,63.7,20.98,1,68.15,20,21.79,26,22.08,32,44.16,39.0,26.48,46.0,sefl,female,2021-04-27,2021-07-08,72
57,ptsd6_72,47.45,10.96,1,17.27,20,13.7,26,8.12,32,11.08,39.0,1.51,46.0,sefl,female,2021-04-27,2021-07-08,72
58,ptsd9_28-1,4.83,1.26,1,25.75,2,24.44,9,26.19,16,11.41,30.0,,,control,male,2021-10-13,2022-01-12,91
59,ptsd9_28-4,19.44,2.53,1,39.23,2,5.89,9,23.81,16,30.33,30.0,,,control,male,2021-10-13,2022-01-12,91
60,ptsd9_28-5,1.05,2.52,1,9.73,2,10.69,9,18.75,16,11.66,30.0,,,control,male,2021-10-13,2022-01-12,91
61,ptsd9_29-3,4.39,6.64,1,46.98,2,2.94,9,25.0,16,9.91,30.0,,,control,male,2021-10-13,2022-01-12,91
62,ptsd9_29-4,19.64,2.52,1,33.23,2,22.01,9,37.5,16,34.38,30.0,,,control,male,2021-10-13,2022-01-12,91
63,ptsd9_30-2,43.54,5.25,1,31.02,2,28.85,9,26.79,16,21.02,30.0,,,control,male,2021-10-13,2022-01-12,91
64,ptsd9_30-5,10.19,3.62,1,33.76,2,30.1,9,26.79,16,19.38,30.0,,,control,male,2021-10-13,2022-01-12,91
65,ptsd9_31-5,2.64,5.4,1,17.57,2,9.44,9,28.57,16,14.52,30.0,,,control,male,2021-10-13,2022-01-12,91
66,ptsd9_28-2,67.42,26.34,1,50.21,2,57.0,9,42.86,16,19.08,30.0,,,sefl,male,2021-10-13,2022-01-12,91
67,ptsd9_28-3,65.37,28.25,1,78.25,2,68.84,9,39.58,16,43.55,30.0,,,sefl,male,2021-10-13,2022-01-12,91
68,ptsd9_29-1,61.13,14.87,1,58.22,2,45.12,9,30.95,16,49.05,30.0,,,sefl,male,2021-10-13,2022-01-12,91
69,ptsd9_29-2,63.66,33.77,1,19.53,2,47.7,9,43.75,16,33.71,30.0,,,sefl,male,2021-10-13,2022-01-12,91
70,ptsd9_29-5,47.5,35.16,1,70.82,2,63.19,9,35.71,16,56.43,30.0,,,sefl,male,2021-10-13,2022-01-12,91
71,ptsd9_30-1,64.57,15.88,1,32.56,2,48.1,9,29.46,16,15.14,30.0,,,sefl,male,2021-10-13,2022-01-12,91
72,ptsd9_31-1,64.38,26.8,1,52.61,2,53.21,9,31.25,16,53.2,30.0,,,sefl,male,2021-10-13,2022-01-12,91
73,ptsd9_31-2,67.16,26.73,1,66.75,2,64.63,9,48.21,16,28.45,30.0,,,sefl,male,2021-10-13,2022-01-12,91
