freezing,genotype,id,day,condition,sex,cohort,exposure_mins,analyzed_duration,date,time,els,psilocybin,cohort_id,dob
10.14,wt,84,seflb,sefl,male,ptsd2,3.5,3.5,4/29/21,5:09 PM,n,n,ptsd2_84,2/16/21
25.39,wt,84,recall1,sefl,male,ptsd2,5,5,4/30/21,2:00 PM,n,n,ptsd2_84,2/16/21
27.24,wt,84,recall2,sefl,male,ptsd2,5,5,5/3/21,10:43 AM,n,n,ptsd2_84,2/16/21
11.23,wt,84,recall3,sefl,male,ptsd2,5,5,5/5/21,10:27 AM,n,n,ptsd2_84,2/16/21
5.62,wt,84,recall4,sefl,male,ptsd2,5,5,5/19/21,10:53 AM,n,n,ptsd2_84,2/16/21
17.64,wt,84,recall5,sefl,male,ptsd2,5,5,6/2/21,10:29 AM,n,n,ptsd2_84,2/16/21
39.63,wt,93,sefla,sefl,male,ptsd2,60,60,4/28/21,1:24 PM,n,n,ptsd2_93,2/16/21
8.63,wt,93,seflb,sefl,male,ptsd2,3.5,3.5,4/29/21,4:40 PM,n,n,ptsd2_93,2/16/21
24.05,wt,93,recall1,sefl,male,ptsd2,5,5,4/30/21,1:37 PM,n,n,ptsd2_93,2/16/21
15.98,wt,93,recall2,sefl,male,ptsd2,5,5,5/3/21,10:17 AM,n,n,ptsd2_93,2/16/21
17.3,wt,93,recall3,sefl,male,ptsd2,5,5,5/5/21,10:04 AM,n,n,ptsd2_93,2/16/21
7.4,wt,93,recall4,sefl,male,ptsd2,5,5,5/19/21,10:24 AM,n,n,ptsd2_93,2/16/21
8.82,wt,93,recall5,sefl,male,ptsd2,5,5,6/2/21,10:03 AM,n,n,ptsd2_93,2/16/21
47.82,wt,94,sefla,sefl,male,ptsd2,60,60,4/28/21,1:24 PM,n,n,ptsd2_94,2/16/21
18.26,wt,94,seflb,sefl,male,ptsd2,3.5,3.5,4/29/21,5:09 PM,n,n,ptsd2_94,2/16/21
38.23,wt,94,recall1,sefl,male,ptsd2,5,5,4/30/21,2:00 PM,n,n,ptsd2_94,2/16/21
19.08,wt,94,recall2,sefl,male,ptsd2,5,5,5/3/21,10:43 AM,n,n,ptsd2_94,2/16/21
6.23,wt,94,recall3,sefl,male,ptsd2,5,5,5/5/21,10:27 AM,n,n,ptsd2_94,2/16/21
11.68,wt,94,recall4,sefl,male,ptsd2,5,5,5/19/21,10:53 AM,n,n,ptsd2_94,2/16/21
0.44,wt,94,recall5,sefl,male,ptsd2,5,5,6/2/21,10:29 AM,n,n,ptsd2_94,2/16/21
31.65,wt,85,sefla,sefl,male,ptsd2,60,60,4/28/21,2:42 PM,n,n,ptsd2_85,2/16/21
18.38,wt,85,seflb,sefl,male,ptsd2,3.5,3.5,4/29/21,5:28 PM,n,n,ptsd2_85,2/16/21
31.89,wt,85,recall1,sefl,male,ptsd2,5,5,4/30/21,2:17 PM,n,n,ptsd2_85,2/16/21
18.97,wt,85,recall2,sefl,male,ptsd2,5,5,5/3/21,11:04 AM,n,n,ptsd2_85,2/16/21
9.61,wt,85,recall3,sefl,male,ptsd2,5,5,5/5/21,10:43 AM,n,n,ptsd2_85,2/16/21
13.41,wt,85,recall4,sefl,male,ptsd2,5,5,5/19/21,11:13 AM,n,n,ptsd2_85,2/16/21
2.41,wt,85,recall5,sefl,male,ptsd2,5,5,6/2/21,10:49 AM,n,n,ptsd2_85,2/16/21
48.94,wt,95,sefla,sefl,male,ptsd2,60,60,4/28/21,2:42 PM,n,n,ptsd2_95,2/16/21
15.39,wt,95,seflb,sefl,male,ptsd2,3.5,3.5,4/29/21,5:28 PM,n,n,ptsd2_95,2/16/21
49.51,wt,95,recall1,sefl,male,ptsd2,5,5,4/30/21,2:17 PM,n,n,ptsd2_95,2/16/21
26.6,wt,95,recall2,sefl,male,ptsd2,5,5,5/3/21,11:04 AM,n,n,ptsd2_95,2/16/21
21.4,wt,95,recall3,sefl,male,ptsd2,5,5,5/5/21,10:43 AM,n,n,ptsd2_95,2/16/21
22.8,wt,95,recall4,sefl,male,ptsd2,5,5,5/19/21,11:13 AM,n,n,ptsd2_95,2/16/21
4.19,wt,95,recall5,sefl,male,ptsd2,5,5,6/2/21,10:49 AM,n,n,ptsd2_95,2/16/21
54.36,wt,83,sefla,sefl,male,ptsd2,60,60,4/28/21,2:42 PM,n,n,ptsd2_83,2/16/21
16.9,wt,83,seflb,sefl,male,ptsd2,3.5,3.5,4/29/21,4:40 PM,n,n,ptsd2_83,2/16/21
38.53,wt,83,recall1,sefl,male,ptsd2,5,5,4/30/21,1:37 PM,n,n,ptsd2_83,2/16/21
27.71,wt,83,recall2,sefl,male,ptsd2,5,5,5/3/21,10:17 AM,n,n,ptsd2_83,2/16/21
12.03,wt,83,recall3,sefl,male,ptsd2,5,5,5/5/21,10:04 AM,n,n,ptsd2_83,2/16/21
25.84,wt,83,recall4,sefl,male,ptsd2,5,5,5/19/21,10:24 AM,n,n,ptsd2_83,2/16/21
8.38,wt,83,recall5,sefl,male,ptsd2,5,5,6/2/21,10:03 AM,n,n,ptsd2_83,2/16/21
6.15,wt,2,sefla,control,male,ptsd3,60,60,5/19/21,1:00 PM,n,n,ptsd3_2,1/15/21
1.72,wt,2,seflb,control,male,ptsd3,3.5,3.5,5/20/21,10:09 AM,n,n,ptsd3_2,1/15/21
19.43,wt,2,recall1,control,male,ptsd3,5,5,5/21/21,10:13 AM,n,n,ptsd3_2,1/15/21
14.3,wt,2,recall2,control,male,ptsd3,5,5,5/24/21,2:29 PM,n,n,ptsd3_2,1/15/21
18.87,wt,2,recall3,control,male,ptsd3,5,5,5/26/21,12:11 PM,n,n,ptsd3_2,1/15/21
11.77,wt,2,recall4,control,male,ptsd3,5,5,6/4/21,2:47 PM,n,n,ptsd3_2,1/15/21
13.8,wt,2,recall5,control,male,ptsd3,5,5,6/24/21,1:41 PM,n,n,ptsd3_2,1/15/21
41.86,wt,4,sefla,control,male,ptsd3,60,60,5/19/21,1:00 PM,n,n,ptsd3_4,2/14/21
1.75,wt,4,seflb,control,male,ptsd3,3.5,3.5,5/20/21,10:09 AM,n,n,ptsd3_4,2/14/21
28.55,wt,4,recall1,control,male,ptsd3,5,5,5/21/21,10:13 AM,n,n,ptsd3_4,2/14/21
9.28,wt,4,recall2,control,male,ptsd3,5,5,5/24/21,2:29 PM,n,n,ptsd3_4,2/14/21
30.06,wt,4,recall3,control,male,ptsd3,5,5,5/26/21,12:11 PM,n,n,ptsd3_4,2/14/21
5.36,wt,6,sefla,control,male,ptsd3,60,60,5/19/21,1:00 PM,n,n,ptsd3_6,3/5/21
0,wt,6,seflb,control,male,ptsd3,3.5,3.5,5/20/21,10:39 AM,n,n,ptsd3_6,3/5/21
21.52,wt,6,recall1,control,male,ptsd3,5,5,5/21/21,10:38 AM,n,n,ptsd3_6,3/5/21
9.54,wt,6,recall2,control,male,ptsd3,5,5,5/24/21,2:53 PM,n,n,ptsd3_6,3/5/21
6.06,wt,6,recall3,control,male,ptsd3,5,5,5/26/21,12:39 PM,n,n,ptsd3_6,3/5/21
8.47,wt,6,recall4,control,male,ptsd3,5,5,6/4/21,3:03 PM,n,n,ptsd3_6,3/5/21
16.74,wt,6,recall5,control,male,ptsd3,5,5,6/24/21,2:02 PM,n,n,ptsd3_6,3/5/21
1.02,wt,8,sefla,control,male,ptsd3,60,60,5/19/21,2:24 PM,n,n,ptsd3_8,3/5/21
0,wt,8,seflb,control,male,ptsd3,3.5,3.5,5/20/21,10:39 AM,n,n,ptsd3_8,3/5/21
20.41,wt,8,recall1,control,male,ptsd3,5,5,5/21/21,10:38 AM,n,n,ptsd3_8,3/5/21
2.68,wt,8,recall2,control,male,ptsd3,5,5,5/24/21,2:53 PM,n,n,ptsd3_8,3/5/21
9.97,wt,8,recall3,control,male,ptsd3,5,5,5/26/21,12:39 PM,n,n,ptsd3_8,3/5/21
2.14,wt,8,recall4,control,male,ptsd3,5,5,6/4/21,3:03 PM,n,n,ptsd3_8,3/5/21
23.87,wt,8,recall5,control,male,ptsd3,5,5,6/24/21,2:02 PM,n,n,ptsd3_8,3/5/21
4.45,wt,10,sefla,sefl,male,ptsd3,60,60,5/19/21,2:24 PM,n,n,ptsd3_10,2/22/21
9.56,wt,10,seflb,sefl,male,ptsd3,3.5,3.5,5/20/21,11:04 AM,n,n,ptsd3_10,2/22/21
54.05,wt,10,recall1,sefl,male,ptsd3,5,5,5/21/21,11:16 AM,n,n,ptsd3_10,2/22/21
25.32,wt,10,recall2,sefl,male,ptsd3,5,5,5/24/21,3:11 PM,n,n,ptsd3_10,2/22/21
26.56,wt,10,recall3,sefl,male,ptsd3,5,5,5/26/21,1:01 PM,n,n,ptsd3_10,2/22/21
30.26,wt,10,recall4,sefl,male,ptsd3,5,5,6/4/21,3:16 PM,n,n,ptsd3_10,2/22/21
42.19,wt,10,recall5,sefl,male,ptsd3,5,5,6/24/21,2:21 PM,n,n,ptsd3_10,2/22/21
4.44,wt,12,sefla,sefl,male,ptsd3,60,60,5/19/21,2:24 PM,n,n,ptsd3_12,1/3/21
0.78,wt,12,seflb,sefl,male,ptsd3,3.5,3.5,5/20/21,11:04 AM,n,n,ptsd3_12,1/3/21
36.05,wt,12,recall1,sefl,male,ptsd3,5,5,5/21/21,11:16 AM,n,n,ptsd3_12,1/3/21
24.83,wt,12,recall2,sefl,male,ptsd3,5,5,5/24/21,3:11 PM,n,n,ptsd3_12,1/3/21
15.93,wt,12,recall3,sefl,male,ptsd3,5,5,5/26/21,1:01 PM,n,n,ptsd3_12,1/3/21
9.35,wt,12,recall4,sefl,male,ptsd3,5,5,6/4/21,3:16 PM,n,n,ptsd3_12,1/3/21
24.12,wt,12,recall5,sefl,male,ptsd3,5,5,6/24/21,2:21 PM,n,n,ptsd3_12,1/3/21
61.92,wt,1,sefla,sefl,male,ptsd3,60,60,5/19/21,3:05 PM,n,n,ptsd3_1,1/15/21
36.73,wt,1,seflb,sefl,male,ptsd3,3.5,3.5,5/20/21,10:09 AM,n,n,ptsd3_1,1/15/21
55.02,wt,1,recall1,sefl,male,ptsd3,5,5,5/21/21,10:13 AM,n,n,ptsd3_1,1/15/21
46.33,wt,1,recall2,sefl,male,ptsd3,5,5,5/24/21,2:29 PM,n,n,ptsd3_1,1/15/21
34.2,wt,1,recall3,sefl,male,ptsd3,5,5,5/26/21,12:11 PM,n,n,ptsd3_1,1/15/21
47.53,wt,1,recall4,sefl,male,ptsd3,5,5,6/4/21,2:47 PM,n,n,ptsd3_1,1/15/21
30.3,wt,1,recall5,sefl,male,ptsd3,5,5,6/24/21,1:41 PM,n,n,ptsd3_1,1/15/21
62.95,wt,3,sefla,sefl,male,ptsd3,60,60,5/19/21,3:05 PM,n,n,ptsd3_3,1/15/21
28.85,wt,3,seflb,sefl,male,ptsd3,3.5,3.5,5/20/21,10:09 AM,n,n,ptsd3_3,1/15/21
31.64,wt,3,recall1,sefl,male,ptsd3,5,5,5/21/21,10:13 AM,n,n,ptsd3_3,1/15/21
0,wt,3,recall2,sefl,male,ptsd3,5,5,5/24/21,2:29 PM,n,n,ptsd3_3,1/15/21
19.17,wt,3,recall3,sefl,male,ptsd3,5,5,5/26/21,12:11 PM,n,n,ptsd3_3,1/15/21
34.16,wt,3,recall4,sefl,male,ptsd3,5,5,6/4/21,2:47 PM,n,n,ptsd3_3,1/15/21
42.09,wt,3,recall5,sefl,male,ptsd3,5,5,6/24/21,1:41 PM,n,n,ptsd3_3,1/15/21
54.36,wt,5,sefla,sefl,male,ptsd3,60,60,5/19/21,3:05 PM,n,n,ptsd3_5,2/14/21
23.82,wt,5,seflb,sefl,male,ptsd3,3.5,3.5,5/20/21,10:39 AM,n,n,ptsd3_5,2/14/21
81.37,wt,5,recall1,sefl,male,ptsd3,5,5,5/21/21,10:38 AM,n,n,ptsd3_5,2/14/21
45.62,wt,5,recall2,sefl,male,ptsd3,5,5,5/24/21,2:53 PM,n,n,ptsd3_5,2/14/21
14.62,wt,5,recall3,sefl,male,ptsd3,5,5,5/26/21,12:39 PM,n,n,ptsd3_5,2/14/21
18.61,wt,5,recall4,sefl,male,ptsd3,5,5,6/4/21,3:03 PM,n,n,ptsd3_5,2/14/21
16.73,wt,5,recall5,sefl,male,ptsd3,5,5,6/24/21,2:02 PM,n,n,ptsd3_5,2/14/21
55.52,wt,7,sefla,sefl,male,ptsd3,60,60,5/19/21,5:36 PM,n,n,ptsd3_7,3/5/21
16.74,wt,7,seflb,sefl,male,ptsd3,3.5,3.5,5/20/21,10:39 AM,n,n,ptsd3_7,3/5/21
42.55,wt,7,recall1,sefl,male,ptsd3,5,5,5/21/21,10:38 AM,n,n,ptsd3_7,3/5/21
16.21,wt,7,recall2,sefl,male,ptsd3,5,5,5/24/21,2:53 PM,n,n,ptsd3_7,3/5/21
5.34,wt,7,recall3,sefl,male,ptsd3,5,5,5/26/21,12:39 PM,n,n,ptsd3_7,3/5/21
15.73,wt,7,recall4,sefl,male,ptsd3,5,5,6/4/21,3:03 PM,n,n,ptsd3_7,3/5/21
38.05,wt,7,recall5,sefl,male,ptsd3,5,5,6/24/21,2:02 PM,n,n,ptsd3_7,3/5/21
75.92,wt,9,sefla,sefl,male,ptsd3,60,60,5/19/21,5:36 PM,n,n,ptsd3_9,2/22/21
26.46,wt,9,seflb,sefl,male,ptsd3,3.5,3.5,5/20/21,11:04 AM,n,n,ptsd3_9,2/22/21
69.36,wt,9,recall1,sefl,male,ptsd3,5,5,5/21/21,11:16 AM,n,n,ptsd3_9,2/22/21
33.29,wt,9,recall2,sefl,male,ptsd3,5,5,5/24/21,3:11 PM,n,n,ptsd3_9,2/22/21
29.5,wt,9,recall3,sefl,male,ptsd3,5,5,5/26/21,1:01 PM,n,n,ptsd3_9,2/22/21
60.77,wt,9,recall4,sefl,male,ptsd3,5,5,6/4/21,3:16 PM,n,n,ptsd3_9,2/22/21
19.96,wt,9,recall5,sefl,male,ptsd3,5,5,6/24/21,2:21 PM,n,n,ptsd3_9,2/22/21
62.12,wt,11,sefla,sefl,male,ptsd3,60,60,5/19/21,5:36 PM,n,n,ptsd3_11,1/3/21
25.37,wt,11,seflb,sefl,male,ptsd3,3.5,3.5,5/20/21,11:04 AM,n,n,ptsd3_11,1/3/21
79.05,wt,11,recall1,sefl,male,ptsd3,5,5,5/21/21,11:16 AM,n,n,ptsd3_11,1/3/21
18.97,wt,11,recall2,sefl,male,ptsd3,5,5,5/24/21,3:11 PM,n,n,ptsd3_11,1/3/21
12.32,wt,11,recall3,sefl,male,ptsd3,5,5,5/26/21,1:01 PM,n,n,ptsd3_11,1/3/21
38.14,wt,11,recall4,sefl,male,ptsd3,5,5,6/4/21,3:16 PM,n,n,ptsd3_11,1/3/21
18.71,wt,11,recall5,sefl,male,ptsd3,5,5,6/24/21,2:21 PM,n,n,ptsd3_11,1/3/21
15.8,wt,61,sefla,control,male,ptsd4,60,60,6/1/21,2:08 PM,n,n,ptsd4_61,3/17/21
2.85,wt,61,seflb,control,male,ptsd4,3.5,3.5,6/2/21,1:28 PM,n,n,ptsd4_61,3/17/21
21.91,wt,61,recall1,control,male,ptsd4,5,5,6/7/21,9:47 AM,n,n,ptsd4_61,3/17/21
16.3,wt,61,recall2,control,male,ptsd4,5,5,6/11/21,2:54 PM,n,n,ptsd4_61,3/17/21
58.03,wt,61,recall3,control,male,ptsd4,5,5,6/18/21,10:56 AM,n,n,ptsd4_61,3/17/21
31.01,wt,61,recall4,control,male,ptsd4,5,5,6/25/21,2:13 PM,n,n,ptsd4_61,3/17/21
27.32,wt,61,recall5,control,male,ptsd4,5,5,7/2/21,10:45 AM,n,n,ptsd4_61,3/17/21
6.27,wt,71,sefla,control,male,ptsd4,60,60,6/1/21,2:08 PM,n,n,ptsd4_71,3/17/21
1.26,wt,71,seflb,control,male,ptsd4,3.5,3.5,6/2/21,1:46 PM,n,n,ptsd4_71,3/17/21
13.35,wt,71,recall1,control,male,ptsd4,5,5,6/7/21,10:07 AM,n,n,ptsd4_71,3/17/21
9.27,wt,71,recall2,control,male,ptsd4,5,5,6/11/21,3:10 PM,n,n,ptsd4_71,3/17/21
8.83,wt,71,recall3,control,male,ptsd4,5,5,6/18/21,11:18 AM,n,n,ptsd4_71,3/17/21
14.36,wt,71,recall4,control,male,ptsd4,5,5,6/25/21,2:31 PM,n,n,ptsd4_71,3/17/21
15.87,wt,71,recall5,control,male,ptsd4,5,5,7/2/21,10:59 AM,n,n,ptsd4_71,3/17/21
0.87,wt,81,sefla,control,male,ptsd4,60,60,6/1/21,2:08 PM,n,n,ptsd4_81,3/17/21
1.08,wt,81,seflb,control,male,ptsd4,3.5,3.5,6/2/21,2:01 PM,n,n,ptsd4_81,3/17/21
16.4,wt,81,recall1,control,male,ptsd4,5,5,6/7/21,10:27 AM,n,n,ptsd4_81,3/17/21
4.99,wt,81,recall2,control,male,ptsd4,5,5,6/11/21,3:27 PM,n,n,ptsd4_81,3/17/21
17.37,wt,81,recall3,control,male,ptsd4,5,5,6/18/21,11:33 AM,n,n,ptsd4_81,3/17/21
6.15,wt,81,recall4,control,male,ptsd4,5,5,6/25/21,2:47 PM,n,n,ptsd4_81,3/17/21
16.65,wt,81,recall5,control,male,ptsd4,30,5,7/2/21,11:15 AM,n,n,ptsd4_81,3/17/21
3.93,wt,82,sefla,control,male,ptsd4,60,60,6/1/21,2:08 PM,n,n,ptsd4_82,3/17/21
0.42,wt,82,seflb,control,male,ptsd4,3.5,3.5,6/2/21,2:01 PM,n,n,ptsd4_82,3/17/21
1.07,wt,82,recall1,control,male,ptsd4,5,5,6/7/21,10:27 AM,n,n,ptsd4_82,3/17/21
0.8,wt,82,recall2,control,male,ptsd4,5,5,6/11/21,3:27 PM,n,n,ptsd4_82,3/17/21
7.4,wt,82,recall3,control,male,ptsd4,5,5,6/18/21,11:33 AM,n,n,ptsd4_82,3/17/21
8.1,wt,82,recall4,control,male,ptsd4,5,5,6/25/21,2:47 PM,n,n,ptsd4_82,3/17/21
16.31,wt,82,recall5,control,male,ptsd4,5,5,7/2/21,11:15 AM,n,n,ptsd4_82,3/17/21
47.46,wt,62,sefla,sefl,male,ptsd4,60,60,6/1/21,3:34 PM,n,n,ptsd4_62,3/17/21
10.81,wt,62,seflb,sefl,male,ptsd4,3.5,3.5,6/2/21,1:28 PM,n,n,ptsd4_62,3/17/21
35.84,wt,62,recall1,sefl,male,ptsd4,5,5,6/7/21,9:47 AM,n,n,ptsd4_62,3/17/21
18.47,wt,62,recall2,sefl,male,ptsd4,5,5,6/11/21,2:54 PM,n,n,ptsd4_62,3/17/21
26.02,wt,62,recall3,sefl,male,ptsd4,5,5,6/18/21,10:56 AM,n,n,ptsd4_62,3/17/21
22.18,wt,62,recall4,sefl,male,ptsd4,5,5,6/25/21,2:13 PM,n,n,ptsd4_62,3/17/21
40.28,wt,62,recall5,sefl,male,ptsd4,5,5,7/2/21,10:45 AM,n,n,ptsd4_62,3/17/21
69.68,wt,63,sefla,sefl,male,ptsd4,60,60,6/1/21,3:34 PM,n,n,ptsd4_63,3/17/21
17.36,wt,63,seflb,sefl,male,ptsd4,3.5,3.5,6/2/21,1:28 PM,n,n,ptsd4_63,3/17/21
9.81,wt,63,recall1,sefl,male,ptsd4,5,5,6/7/21,9:47 AM,n,n,ptsd4_63,3/17/21
27.77,wt,63,recall2,sefl,male,ptsd4,5,5,6/11/21,2:54 PM,n,n,ptsd4_63,3/17/21
33.21,wt,63,recall3,sefl,male,ptsd4,5,5,6/18/21,10:56 AM,n,n,ptsd4_63,3/17/21
38.68,wt,63,recall4,sefl,male,ptsd4,5,5,6/25/21,2:13 PM,n,n,ptsd4_63,3/17/21
34.41,wt,63,recall5,sefl,male,ptsd4,5,5,7/2/21,10:45 AM,n,n,ptsd4_63,3/17/21
59.02,wt,64,sefla,sefl,male,ptsd4,60,60,6/1/21,3:34 PM,n,n,ptsd4_64,3/17/21
49.23,wt,64,seflb,sefl,male,ptsd4,3.5,3.5,6/2/21,1:28 PM,n,n,ptsd4_64,3/17/21
78.36,wt,64,recall1,sefl,male,ptsd4,5,5,6/7/21,9:47 AM,n,n,ptsd4_64,3/17/21
53.84,wt,64,recall2,sefl,male,ptsd4,5,5,6/11/21,2:54 PM,n,n,ptsd4_64,3/17/21
29.31,wt,64,recall3,sefl,male,ptsd4,5,5,6/18/21,10:56 AM,n,n,ptsd4_64,3/17/21
13.62,wt,64,recall4,sefl,male,ptsd4,5,5,6/25/21,2:13 PM,n,n,ptsd4_64,3/17/21
27.51,wt,64,recall5,sefl,male,ptsd4,5,5,7/2/21,10:45 AM,n,n,ptsd4_64,3/17/21
60.06,wt,72,sefla,sefl,male,ptsd4,60,60,6/1/21,3:34 PM,n,n,ptsd4_72,3/17/21
8.12,wt,72,seflb,sefl,male,ptsd4,3.5,3.5,6/2/21,1:46 PM,n,n,ptsd4_72,3/17/21
20.43,wt,72,recall1,sefl,male,ptsd4,5,5,6/7/21,10:07 AM,n,n,ptsd4_72,3/17/21
28.38,wt,72,recall2,sefl,male,ptsd4,5,5,6/11/21,3:10 PM,n,n,ptsd4_72,3/17/21
20.67,wt,72,recall3,sefl,male,ptsd4,5,5,6/18/21,11:18 AM,n,n,ptsd4_72,3/17/21
11.21,wt,72,recall4,sefl,male,ptsd4,5,5,6/25/21,2:31 PM,n,n,ptsd4_72,3/17/21
33.22,wt,72,recall5,sefl,male,ptsd4,5,5,7/2/21,10:59 AM,n,n,ptsd4_72,3/17/21
60.97,wt,73,sefla,sefl,male,ptsd4,60,60,6/1/21,5:04 PM,n,n,ptsd4_73,3/17/21
29.37,wt,73,seflb,sefl,male,ptsd4,3.5,3.5,6/2/21,1:46 PM,n,n,ptsd4_73,3/17/21
36.44,wt,73,recall1,sefl,male,ptsd4,5,5,6/7/21,10:07 AM,n,n,ptsd4_73,3/17/21
31.56,wt,73,recall2,sefl,male,ptsd4,5,5,6/11/21,3:10 PM,n,n,ptsd4_73,3/17/21
44.68,wt,73,recall3,sefl,male,ptsd4,5,5,6/18/21,11:18 AM,n,n,ptsd4_73,3/17/21
38.02,wt,73,recall4,sefl,male,ptsd4,5,5,6/25/21,2:31 PM,n,n,ptsd4_73,3/17/21
35.42,wt,73,recall5,sefl,male,ptsd4,5,5,7/2/21,10:59 AM,n,n,ptsd4_73,3/17/21
69.49,wt,74,sefla,sefl,male,ptsd4,60,60,6/1/21,5:04 PM,n,n,ptsd4_74,3/17/21
15,wt,74,seflb,sefl,male,ptsd4,3.5,3.5,6/2/21,1:46 PM,n,n,ptsd4_74,3/17/21
31.66,wt,74,recall1,sefl,male,ptsd4,5,5,6/7/21,10:07 AM,n,n,ptsd4_74,3/17/21
27.83,wt,74,recall2,sefl,male,ptsd4,5,5,6/11/21,3:10 PM,n,n,ptsd4_74,3/17/21
44.48,wt,74,recall3,sefl,male,ptsd4,5,5,6/18/21,11:18 AM,n,n,ptsd4_74,3/17/21
24.57,wt,74,recall4,sefl,male,ptsd4,5,5,6/25/21,2:31 PM,n,n,ptsd4_74,3/17/21
14.51,wt,74,recall5,sefl,male,ptsd4,5,5,7/2/21,10:59 AM,n,n,ptsd4_74,3/17/21
66.93,wt,83,sefla,sefl,male,ptsd4,60,60,6/1/21,5:04 PM,n,n,ptsd4_83,3/17/21
5.32,wt,83,seflb,sefl,male,ptsd4,3.5,3.5,6/2/21,2:01 PM,n,n,ptsd4_83,3/17/21
29.13,wt,83,recall1,sefl,male,ptsd4,5,5,6/7/21,10:27 AM,n,n,ptsd4_83,3/17/21
25.12,wt,83,recall2,sefl,male,ptsd4,5,5,6/11/21,3:27 PM,n,n,ptsd4_83,3/17/21
33.33,wt,83,recall3,sefl,male,ptsd4,5,5,6/18/21,11:33 AM,n,n,ptsd4_83,3/17/21
21.59,wt,83,recall4,sefl,male,ptsd4,5,5,6/25/21,2:47 PM,n,n,ptsd4_83,3/17/21
33.32,wt,83,recall5,sefl,male,ptsd4,5,5,7/2/21,11:15 AM,n,n,ptsd4_83,3/17/21
66.33,wt,84,sefla,sefl,male,ptsd4,60,60,6/1/21,5:04 PM,n,n,ptsd4_84,3/17/21
11.26,wt,84,seflb,sefl,male,ptsd4,3.5,3.5,6/2/21,2:01 PM,n,n,ptsd4_84,3/17/21
21.47,wt,84,recall1,sefl,male,ptsd4,5,5,6/7/21,10:27 AM,n,n,ptsd4_84,3/17/21
